departments_v5,describe
Ban Chấp hành Đảng bộ,BCH Đảng bộ
Ban Giám hiệu,BGH
Ban Thường vụ Đảng ủy,BTV. Đảng ủy
Ban Thường vụ Huyện ủy,BTV. Huyện ủy
Bệnh viện,Bệnh viện
Bệnh viện Trường Đại học Trà Vinh,Bệnh viện TVU
Bộ môn Công nghệ Thông tin,BM CNTT
Bộ môn Điện - Điện tử,BM Đ-ĐT
Bộ môn Giáo dục Thể chất,BM GDTC
Bộ môn Xây dựng,BMXD
Bộ phận TVTMĐX,Bộ phận TVTMĐX
Các Chi bộ,Các Chi bộ
Các đơn vị liên quan,Các đơn vị liên quan
Các đơn vị thuộc và trực thuộc Trường,Các đơn vị thuộc và trực thuộc Trường
Các đơn vị trực thuộc,Các đơn vị trực thuộc
Các Khoa,Các Khoa
"Các Trường, Khoa, Viện đào tạo","Các Trường, Khoa, Viện đào tạo"
Chi hội Luật gia Trường Đại học Trà Vinh,CH Luật gia TVU
Chi hội Nông dân,CH Nông dân
Chủ tịch Hội đồng Trường,CT. HĐT
CMET,CMET
Cô Dân - Phó Hiệu trưởng,Cô Dân - PHT
Công đoàn,CĐ
Công đoàn cơ sở,CĐCS
Công đoàn viên,CĐV
Công ty Đại học Xanh,Công ty ĐH Xanh
Công ty TVUC,Công ty TVUC
Đảng ủy,Đảng ủy
Đoàn Thanh niên,ĐTN
Đội PCCC Khu 1,Đội PCCC Khu 1
Hiệu trưởng,HT
Học sinh,HS
Học viên,HV
Hội đồng Trường,HĐT
Hội đồng Tư vấn,HĐTV
Hội Sinh viên,HSV
Hợp tác xã Sinh viên,HTXSV
Hos-TVU,Hos TVU
Khoa Dự bị Đại học,Khoa DBĐH
Khoa Giáo dục Thể chất,Khoa GDTC
Khoa Hóa học Ứng dụng,Khoa HHƯD
Khoa Khoa học Cơ bản,Khoa KHCB
Khoa Kỹ thuật và Công nghệ,Khoa KTCN
Khoa Luật,Khoa Luật
Khoa Lý luận Chính trị,Khoa LLCT
Khoa Nông nghiệp Thủy sản,Khoa NNTS
Khoa Răng Hàm Mặt,Khoa RHM
Khoa Sư phạm,Khoa SP
Khoa Y Dược,Khoa YD
Ký túc xá,KTX
Lotus Mekong,Lotus Mekong
MCI,MCI
Người lao động,NLĐ
Ông Diệp Thanh Tùng - Phó Hiệu trưởng,Ông Diệp Thanh Tùng - PHT
PGS.TS Nguyễn Thái Sơn - Viện trưởng Viện Phát triển nguồn lực,Ông Nguyễn Thái Sơn - Viện trưởng RDI
PGS.TS Nguyễn Thái Sơn - Viện trưởng Viện Phát triển nguồn lực,PGS.TS Nguyễn Thái Sơn - Viện trưởng RDI
Phòng Công nghệ Thông tin,Phòng CNTT
Phòng Công tác Sinh viên - Học sinh,Phòng CTSV-HS
Phòng Đảm bảo Chất lượng,Phòng ĐBCL
Phòng Đào tạo,Phòng ĐT
Phòng Đào tạo Sau đại học,Phòng ĐTSĐH
Phòng Hành chính Tổng hợp,Phòng HCTH
Phòng Hợp tác Quốc tế,Phòng HTQT
Phòng Hợp tác Quốc tế và Xúc tiến Dự án,Phòng HTQT và XTDA
